USER_ID,USER_NAME,USER_CLASS_ID,EMAIL_ID
1001,Shiva,1001,shiva.chandrakanti@factspan.com
1002,Deepesh,1003,deepesh.vishwakarma@factspan.com
1003,Sankalp,1003,ashritha.ka@factspan.com
1004,Rakesh,1003,Rakesh1004@factspan.com
1005,Ramesh,1004,Ramesh1005@factspan.com
1006,Rajesh,1005,Rajesh1006@factspan.com
1007,Vishal,1003,Vishal1007@factspan.com
1008,Rajesh,1003,Rajesh1008@factspan.com
1009,Rakesh,1003,Rakesh1009@factspan.com
1010,Raman,1003,Raman1010@factspan.com
1011,Raman,1003,Raman1011@factspan.com
1012,Raman,1003,Raman1012@factspan.com
1013,Sam,1003,Sam1013@factspan.com
1014,Jennifer,1003,Jennifer1014@factspan.com
1015,Matt,1003,Matt1015@factspan.com
1016,Jennifer,1006,Jennifer1016@factspan.com
1017,George,1006,George1017@factspan.com
1018,Ann,1006,Ann1018@factspan.com
1019,George,1006,George1019@factspan.com
1020,Sam,1006,Sam1020@factspan.com
1021,Matt,1003,Matt1021@factspan.com
1022,Ann,1003,Ann1022@factspan.com
1023,Sam,1003,Sam1023@factspan.com
1024,George,1003,George1024@factspan.com
1025,Ann,1003,Ann1025@factspan.com
1026,Matt,1003,Matt1026@factspan.com
1027,Matt,1003,Matt1027@factspan.com
1028,Jennifer,1003,Jennifer1028@factspan.com
1029,Sam,1003,Sam1029@factspan.com
1030,Ann,1003,Ann1030@factspan.com
1031,Sam,1003,Sam1031@factspan.com
1032,George,1003,George1032@factspan.com
1033,George,1003,George1033@factspan.com
1034,George,1003,George1034@factspan.com
1035,Jennifer,1003,Jennifer1035@factspan.com
1036,Matt,1003,Matt1036@factspan.com
1037,Matt,1003,Matt1037@factspan.com
1038,Sam,1003,Sam1038@factspan.com
1039,Jennifer,1003,Jennifer1039@factspan.com
1040,Jennifer,1003,Jennifer1040@factspan.com
1041,Ann,1003,Ann1041@factspan.com
1042,Sam,1003,Sam1042@factspan.com
1043,Sam,1003,Sam1043@factspan.com
1044,George,1003,George1044@factspan.com
1045,George,1003,George1045@factspan.com
1046,Ann,1003,Ann1046@factspan.com
1047,George,1003,George1047@factspan.com
1048,Matt,1003,Matt1048@factspan.com
1049,Sam,1003,Sam1049@factspan.com
1050,Ann,1003,Ann1050@factspan.com
1051,George,1003,George1051@factspan.com
1052,Jennifer,1003,Jennifer1052@factspan.com
1053,Jennifer,1003,Jennifer1053@factspan.com
1054,Ann,1003,Ann1054@factspan.com
1055,George,1003,George1055@factspan.com
1056,Matt,1003,Matt1056@factspan.com
1057,Matt,1003,Matt1057@factspan.com
1058,Sam,1003,Sam1058@factspan.com
1059,Sam,1003,Sam1059@factspan.com
1060,Matt,1003,Matt1060@factspan.com
